;school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
0;GP;0;18;U;GT3;A;4;4;at_home;teacher;course;mother;2;2;0;1;0;0;0;1;1;0;0;4;3;4;1;1;3;6;5;6;6
1;GP;0;17;U;GT3;T;1;1;at_home;other;course;father;1;2;0;0;1;0;0;0;1;1;0;5;3;3;1;1;3;4;5;5;6
2;GP;0;15;U;LE3;T;1;1;at_home;other;other;mother;1;2;3;1;0;1;0;1;1;1;0;4;3;2;2;3;3;10;7;8;10
3;GP;0;15;U;GT3;T;4;2;health;services;home;mother;1;3;0;0;1;1;1;1;1;1;1;3;2;2;1;1;5;2;15;14;15
4;GP;0;16;U;GT3;T;3;3;other;other;home;father;1;2;0;0;1;1;0;1;1;0;0;4;3;2;1;2;5;4;6;10;10
5;GP;1;16;U;LE3;T;4;3;services;other;reputation;mother;1;2;0;0;1;1;1;1;1;1;0;5;4;2;1;2;5;10;15;15;15
6;GP;1;16;U;LE3;T;2;2;other;other;home;mother;1;2;0;0;0;0;0;1;1;1;0;4;4;4;1;1;3;0;12;12;11
7;GP;0;17;U;GT3;A;4;4;other;teacher;home;mother;2;2;0;1;1;0;0;1;1;0;0;4;1;4;1;1;1;6;6;5;6
8;GP;1;15;U;LE3;A;3;2;services;other;home;mother;1;2;0;0;1;1;0;1;1;1;0;4;2;2;1;1;1;0;16;18;19
9;GP;1;15;U;GT3;T;3;4;other;other;home;mother;1;2;0;0;1;1;1;1;1;1;0;5;5;1;1;1;5;0;14;15;15
10;GP;0;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;0;1;1;0;1;1;1;0;3;3;3;1;2;2;0;10;8;9
11;GP;0;15;U;GT3;T;2;1;services;other;reputation;father;3;3;0;0;1;0;1;1;1;1;0;5;2;2;1;1;4;4;10;12;12
12;GP;1;15;U;LE3;T;4;4;health;services;course;father;1;1;0;0;1;1;1;1;1;1;0;4;3;3;1;3;5;2;14;14;14
13;GP;1;15;U;GT3;T;4;3;teacher;other;course;mother;2;2;0;0;1;1;0;1;1;1;0;5;4;3;1;2;3;2;10;10;11
14;GP;1;15;U;GT3;A;2;2;other;other;home;other;1;3;0;0;1;0;0;1;1;1;1;4;5;2;1;1;3;0;14;16;16
15;GP;0;16;U;GT3;T;4;4;health;other;home;mother;1;1;0;0;1;0;0;1;1;1;0;4;4;4;1;2;2;4;14;14;14
16;GP;0;16;U;GT3;T;4;4;services;services;reputation;mother;1;3;0;0;1;1;1;1;1;1;0;3;2;3;1;2;2;6;13;14;14
17;GP;0;16;U;GT3;T;3;3;other;other;reputation;mother;3;2;0;1;1;0;1;1;1;0;0;5;3;2;1;1;4;4;8;10;10
18;GP;1;17;U;GT3;T;3;2;services;services;course;mother;1;1;3;0;1;0;1;1;1;1;0;5;5;5;2;4;5;16;6;5;5
19;GP;1;16;U;LE3;T;4;3;health;other;home;father;1;1;0;0;0;1;1;1;1;1;0;3;1;3;1;3;5;4;8;10;10
20;GP;1;15;U;GT3;T;4;3;teacher;other;reputation;mother;1;2;0;0;0;0;0;1;1;1;0;4;4;1;1;1;1;0;13;14;15
21;GP;1;15;U;GT3;T;4;4;health;health;other;father;1;1;0;0;1;1;0;1;1;1;0;5;4;2;1;1;5;0;12;15;15
22;GP;1;16;U;LE3;T;4;2;teacher;other;course;mother;1;2;0;0;0;0;1;1;1;1;0;4;5;1;1;3;5;2;15;15;16
23;GP;1;16;U;LE3;T;2;2;other;other;reputation;mother;2;2;0;0;1;0;1;1;1;1;0;5;4;4;2;4;5;0;13;13;12
24;GP;0;15;R;GT3;T;2;4;services;health;course;mother;1;3;0;1;1;1;1;1;1;1;0;4;3;2;1;1;5;2;10;9;8
25;GP;0;16;U;GT3;T;2;2;services;services;home;mother;1;1;2;0;1;1;0;0;1;1;0;1;2;2;1;3;5;14;6;9;8
26;GP;1;15;U;GT3;T;2;2;other;other;home;mother;1;1;0;0;1;1;0;1;1;1;0;4;2;2;1;2;5;2;12;12;11
27;GP;1;15;U;GT3;T;4;2;health;services;other;mother;1;1;0;0;0;1;0;1;1;1;0;2;2;4;2;4;1;4;15;16;15
28;GP;1;16;U;LE3;A;3;4;services;other;home;mother;1;2;0;1;1;0;1;1;1;1;0;5;3;3;1;1;5;4;11;11;11
29;GP;1;16;U;GT3;T;4;4;teacher;teacher;home;mother;1;2;0;0;1;1;1;1;1;1;1;4;4;5;5;5;5;16;10;12;11
30;GP;1;15;U;GT3;T;4;4;health;services;home;mother;1;2;0;0;1;1;0;0;1;1;0;5;4;2;3;4;5;0;9;11;12
31;GP;1;15;U;GT3;T;4;4;services;services;reputation;mother;2;2;0;0;1;0;1;1;1;1;0;4;3;1;1;1;5;0;17;16;17
32;GP;1;15;R;GT3;T;4;3;teacher;at_home;course;mother;1;2;0;0;1;0;1;1;1;1;1;4;5;2;1;1;5;0;17;16;16
33;GP;1;15;U;LE3;T;3;3;other;other;course;mother;1;2;0;0;0;0;1;0;1;1;0;5;3;2;1;1;2;0;8;10;12
34;GP;1;16;U;GT3;T;3;2;other;other;home;mother;1;1;0;0;1;1;0;0;1;1;0;5;4;3;1;1;5;0;12;14;15
35;GP;0;15;U;GT3;T;2;3;other;other;other;father;2;1;0;0;1;0;1;1;1;0;0;3;5;1;1;1;5;0;8;7;6
36;GP;1;15;U;LE3;T;4;3;teacher;services;home;mother;1;3;0;0;1;0;1;1;1;1;0;5;4;3;1;1;4;2;15;16;18
37;GP;1;16;R;GT3;A;4;4;other;teacher;reputation;mother;2;3;0;0;1;0;1;1;1;1;1;2;4;3;1;1;5;7;15;16;15
38;GP;0;15;R;GT3;T;3;4;services;health;course;mother;1;3;0;1;1;1;1;1;1;1;0;4;3;2;1;1;5;2;12;12;11
39;GP;0;15;R;GT3;T;2;2;at_home;other;reputation;mother;1;1;0;1;1;1;1;1;1;0;0;4;3;1;1;1;2;8;14;13;13
40;GP;0;16;U;LE3;T;2;2;other;other;home;mother;2;2;1;0;1;0;1;0;1;1;1;3;3;3;1;2;3;25;7;10;11
41;GP;1;15;U;LE3;T;4;4;teacher;other;home;other;1;1;0;0;1;0;0;0;1;1;1;5;4;3;2;4;5;8;12;12;12
42;GP;1;15;U;GT3;T;4;4;services;teacher;course;father;1;2;0;0;1;0;1;1;1;1;0;4;3;3;1;1;5;2;19;18;18
43;GP;1;15;U;GT3;T;2;2;services;services;course;father;1;1;0;1;1;0;0;1;1;1;0;5;4;1;1;1;1;0;8;8;11
44;GP;0;16;U;LE3;T;2;2;other;at_home;course;father;2;2;1;1;0;0;1;1;1;1;0;4;3;3;2;2;5;14;10;10;9
45;GP;0;15;U;LE3;A;4;3;other;other;course;mother;1;2;0;1;1;1;1;1;1;1;1;5;2;2;1;1;5;8;8;8;6
46;GP;0;16;U;LE3;A;3;3;other;services;home;mother;1;2;0;0;1;0;0;1;1;1;0;2;3;5;1;4;3;12;11;12;11
47;GP;1;16;U;GT3;T;4;3;health;services;reputation;mother;1;4;0;0;0;0;1;1;1;1;0;4;2;2;1;1;2;4;19;19;20
48;GP;1;15;U;GT3;T;4;2;teacher;other;home;mother;1;2;0;0;1;1;0;1;1;0;0;4;3;3;2;2;5;2;15;15;14
49;GP;0;15;U;GT3;T;4;4;services;teacher;other;father;1;2;1;1;1;0;1;0;1;1;0;4;4;4;1;1;3;2;7;7;7
